variant,formula,age,n_train,n_test,A_t,B_t,R2,RMSE,MAE
wc,Abrams,3,103,26,61.85142385199506,6.620404169234066,0.7402640715700242,4.99354930790442,3.8792461269456924
wc,Abrams,7,97,25,97.2795507562415,9.57701547020107,0.633472809408629,8.260556611271436,6.414800963261528
wc,Abrams,14,49,13,53.260928691357876,2.283364398259873,0.47199942546208995,7.78354222043238,6.041410717660218
wc,Abrams,28,335,84,69.06158445589949,2.3301582491830133,0.576701436840515,10.9826629563187,8.876831960793377
wc,Abrams,56,68,18,92.36740219969025,2.6041198874132676,0.302450340080598,11.346127430674466,9.275902826242037
wc,Abrams,90,43,11,53.495135927701455,1.3755433353392013,-0.03210349843602045,7.778423951140863,6.996146766805143
wc,Abrams,100,41,11,69.60747636262023,1.5725994915244725,-1.037448442224688,7.356378710466769,6.357211942255421
wc,Abrams,180,20,6,67.9409919067731,2.122489641303547,-3.337090284827979,10.480177712080392,8.513721550193104
wc,Power,3,103,26,10.622673123747717,1.0918592110516065,0.7622896001697879,4.777133957675088,3.470294972014673
wc,Power,7,97,25,13.205377775985834,1.164180124959899,0.6928140349078094,7.562352161154551,5.70012050090341
wc,Power,14,49,13,23.85266570142495,0.5829291385030537,0.601626579672701,6.760911718938328,5.548791705603178
wc,Power,28,335,84,29.024213025453378,0.6304255718019752,0.611089658556535,10.527106206381198,8.326063464353647
wc,Power,56,68,18,38.19053766680501,0.5382898038667396,0.2942916008165245,11.412288301097767,9.406394114544026
wc,Power,90,43,11,37.66329347018737,0.3074645257809773,0.06463483994827757,7.404923559727935,6.650349497805396
wc,Power,100,41,11,44.289198865026,0.3683234099208352,-0.8961393179445214,7.096690853747602,6.096717047288369
wc,Power,180,20,6,31.380311821443694,0.5808410938024964,-3.2597341063411998,10.386295180403064,8.325969463811505
wb,Abrams,3,103,26,94.66210127900771,45.62157586009427,0.8259186346023503,4.088080797015187,3.097807452420177
wb,Abrams,7,97,25,115.42372051152265,30.311478993942735,0.6284414303023529,8.317060373576508,6.719621177345377
wb,Abrams,14,49,13,87.50501621451694,10.671816954153991,0.6637791040113237,6.211156019635715,4.215278314739365
wb,Abrams,28,335,84,128.73309093325136,16.961607973644284,0.68590996428261,9.460440054615088,7.137023578431517
wb,Abrams,56,68,18,127.43246469727875,9.920083725513477,0.7054663577051361,7.372716683224442,5.728398922290889
wb,Abrams,90,43,11,110.19407700061429,6.2152195381473625,0.5113750919304387,5.352020716332488,3.074443938968973
wb,Abrams,100,41,11,111.32109821350734,5.842974904630222,-0.40621689292724983,6.111487395897851,4.699459235270344
wb,Abrams,180,20,6,116.65856662262273,6.4222206046831305,-0.8393392179356718,6.8249634669909325,5.75841262555753
wb,Power,3,103,26,4.801454879212806,1.5287328115677792,0.8203661776303126,4.152765271859376,3.2343001329642465
wb,Power,7,97,25,7.303360084691263,1.4455635597022773,0.6413161034533117,8.171695069398066,6.576421190160488
wb,Power,14,49,13,12.60035637236005,1.0744770236313905,0.7049876623033668,5.8180865487266225,4.098773302990988
wb,Power,28,335,84,13.439493653276413,1.1960444264487389,0.6844425657676337,9.482513437653687,7.224107017163192
wb,Power,56,68,18,22.183345522237815,0.8759690756554428,0.6923037134751744,7.535658669808587,5.874049480252523
wb,Power,90,43,11,22.521470414463945,0.9379458899474071,0.4934572358500474,5.449266437596632,3.04464842055696
wb,Power,100,41,11,26.941842965327428,0.7705733336183024,-0.35578367974759595,6.00089414458767,4.545220012284109
wb,Power,180,20,6,23.48204495432143,0.9301799684253195,-0.7539934386230829,6.664742855627548,5.4979764922697525
